coreid,algae,midge,box,algae_conc,detritus_conc
1,T8,Midges,1,0.0078125,0.9921875
2,T8,No Midges,1,0.0078125,0.9921875
3,T2,Midges,1,0.5,0.5
4,T2,No Midges,1,0.5,0.5
5,T6,No Midges,1,0.03125,0.96875
6,T6,Midges,1,0.03125,0.96875
7,T4,Midges,1,0.125,0.875
8,T6,No Midges,1,0.03125,0.96875
9,T10,No Midges,1,0,1
10,T3,No Midges,1,0.25,0.75
11,T8,Midges,1,0.0078125,0.9921875
12,T2,No Midges,1,0.5,0.5
13,T9,Midges,1,0.00390625,0.99609375
14,T5,Midges,1,0.0625,0.9375
15,T10,No Midges,1,0,1
16,T4,No Midges,1,0.125,0.875
17,T9,No Midges,1,0.00390625,0.99609375
18,T7,Midges,1,0.015625,0.984375
19,T10,Midges,1,0,1
20,T4,Midges,1,0.125,0.875
21,T10,Midges,1,0,1
22,T6,No Midges,1,0.03125,0.96875
23,T8,No Midges,1,0.0078125,0.9921875
24,T1,Midges,1,1,0
25,T4,Midges,1,0.125,0.875
26,T4,Midges,1,0.125,0.875
27,T2,Midges,1,0.5,0.5
28,T5,Midges,1,0.0625,0.9375
29,T3,No Midges,1,0.25,0.75
30,T1,No Midges,1,1,0
31,T5,No Midges,1,0.0625,0.9375
32,T10,Midges,1,0,1
33,T4,No Midges,1,0.125,0.875
34,T8,Midges,1,0.0078125,0.9921875
35,T9,Midges,1,0.00390625,0.99609375
36,T9,Midges,1,0.00390625,0.99609375
37,T1,Midges,1,1,0
38,T9,No Midges,1,0.00390625,0.99609375
39,T10,No Midges,1,0,1
40,T2,Midges,1,0.5,0.5
41,T1,Midges,1,1,0
42,T7,Midges,1,0.015625,0.984375
43,T1,No Midges,1,1,0
44,T7,No Midges,1,0.015625,0.984375
45,T4,No Midges,1,0.125,0.875
46,T6,Midges,1,0.03125,0.96875
47,T6,Midges,1,0.03125,0.96875
48,T3,Midges,1,0.25,0.75
49,T8,No Midges,1,0.0078125,0.9921875
50,T1,No Midges,1,1,0
51,T3,Midges,2,0.25,0.75
52,T10,No Midges,2,0,1
53,T6,Midges,2,0.03125,0.96875
54,T2,No Midges,2,0.5,0.5
55,T5,Midges,2,0.0625,0.9375
56,T5,No Midges,2,0.0625,0.9375
57,T3,Midges,2,0.25,0.75
58,T7,Midges,2,0.015625,0.984375
59,T4,Midges,2,0.125,0.875
60,T9,Midges,2,0.00390625,0.99609375
61,T5,Midges,2,0.0625,0.9375
62,T10,Midges,2,0,1
63,T3,Midges,2,0.25,0.75
64,T8,Midges,2,0.0078125,0.9921875
65,T3,No Midges,2,0.25,0.75
66,T7,No Midges,2,0.015625,0.984375
67,T7,Midges,2,0.015625,0.984375
68,T8,No Midges,2,0.0078125,0.9921875
69,T3,Midges,2,0.25,0.75
70,T3,No Midges,2,0.25,0.75
71,T9,No Midges,2,0.00390625,0.99609375
72,T9,No Midges,2,0.00390625,0.99609375
73,T2,Midges,2,0.5,0.5
74,T8,Midges,2,0.0078125,0.9921875
75,T2,No Midges,2,0.5,0.5
76,T5,Midges,2,0.0625,0.9375
77,T6,No Midges,2,0.03125,0.96875
78,T7,Midges,2,0.015625,0.984375
79,T1,Midges,2,1,0
80,T9,No Midges,2,0.00390625,0.99609375
81,T4,No Midges,2,0.125,0.875
82,T5,No Midges,2,0.0625,0.9375
83,T10,No Midges,2,0,1
84,T6,Midges,2,0.03125,0.96875
85,T7,No Midges,2,0.015625,0.984375
86,T1,Midges,2,1,0
87,T2,Midges,2,0.5,0.5
88,T7,No Midges,2,0.015625,0.984375
89,T5,No Midges,2,0.0625,0.9375
90,T10,Midges,2,0,1
91,T6,No Midges,2,0.03125,0.96875
92,T4,No Midges,2,0.125,0.875
93,T9,Midges,2,0.00390625,0.99609375
94,T1,No Midges,2,1,0
95,T2,No Midges,2,0.5,0.5
96,T5,No Midges,2,0.0625,0.9375
97,T7,No Midges,2,0.015625,0.984375
98,T3,No Midges,2,0.25,0.75
99,T8,No Midges,2,0.0078125,0.9921875
100,T1,No Midges,2,1,0
