day,midge,algae_conc2,mean_pp,mean_sp,Bt,Btlag,pplag
22,Midges,0.002,0.07081674908755069,0.009447602375282412,0.3580373275630085,0.21235805338454658,0.04290407901947396
22,Midges,0.00390625,0.05829848727228643,0.009846402993754307,0.3205391229643869,0.18011407020869913,0.044468277008390275
22,Midges,0.0078125,0.058033235759530385,0.006595173051464777,0.24306534803800942,0.30514924857879716,0.04755604830947818
22,Midges,0.015625,0.07940826288731831,0.008701627906978714,0.41551454441635005,0.3912577153673177,0.05773710724424111
22,Midges,0.03125,0.10266079592066141,0.0016843105273916634,0.2911301025483739,0.2159715457852028,0.05881666009765275
22,Midges,0.0625,0.06970205246797474,0.008888885240921391,0.4953477295006326,0.25333479386821084,0.07011448772832674
22,Midges,0.125,0.08614470121351883,0.007000840740483829,0.37316135891031876,0.37847653928087394,0.07197842421845906
22,Midges,0.25,0.06137361416440637,0.012779280651631184,0.5796148310397559,0.4057132884519241,0.07253760083191717
22,Midges,0.5,0.1768028582435155,0.019176109668233153,0.775560456474622,0.4393604425519098,0.15780990411353032
22,Midges,1,0.11430049516588092,0.009864770133204182,0.6783292491171421,0.7745188689047049,0.16623627752120163
