term,estimate,std.error,statistic,p.value,response,day
(Intercept),0.02214,0.00139,15.94,1.30E-28,GPP,14
log(algae_conc2),0.00255,0.00035,7.35,6.80E-11,GPP,14
midgeMidges,-0.00139,0.00181,-0.77,4.40E-01,GPP,14
box2,-0.00127,0.00098,-1.29,2.00E-01,GPP,14
log(algae_conc2):midgeMidges,0.00016,0.00049,0.33,7.40E-01,GPP,14
(Intercept),0.02455,0.00273,8.99,2.20E-12,GPP,22
log(algae_conc2),-0.00107,0.00072,-1.48,1.40E-01,GPP,22
midgeMidges,-0.0011,0.00376,-0.29,7.70E-01,GPP,22
box2,-0.00954,0.00204,-4.68,1.90E-05,GPP,22
log(algae_conc2):midgeMidges,0.00299,0.00102,2.92,5.00E-03,GPP,22
(Intercept),2.65567,0.14043,18.91,5.90E-20,# Midges,14
log(algae_conc2),0.1037,0.03841,2.7,1.10E-02,# Midges,14
midgeNo Midges,-1.55971,0.35373,-4.41,9.40E-05,# Midges,14
box2,0.23675,0.14662,1.61,1.20E-01,# Midges,14
log(algae_conc2):midgeNo Midges,0.42256,0.16648,2.54,1.60E-02,# Midges,14
(Intercept),2.79255,0.10372,26.92,2.40E-33,# Midges,22
log(algae_conc2),0.09142,0.02641,3.46,1.00E-03,# Midges,22
midgeNo Midges,-2.02278,0.26238,-7.71,2.60E-10,# Midges,22
box2,-0.1722,0.09963,-1.73,9.00E-02,# Midges,22
log(algae_conc2):midgeNo Midges,0.03236,0.0804,0.4,6.90E-01,# Midges,22
(Intercept),-3.63942,0.96164,-3.78,8.60E-04,proportion 2nd instar,14
log(algae_conc2),-0.28525,0.19475,-1.46,1.60E-01,proportion 2nd instar,14
midgeNo Midges,1.09049,1.03375,1.05,3.00E-01,proportion 2nd instar,14
box2,1.35685,0.66806,2.03,5.30E-02,proportion 2nd instar,14
log(algae_conc2):midgeNo Midges,0.22367,0.28727,0.78,4.40E-01,proportion 2nd instar,14
(Intercept),-4.33465,1.36783,-3.17,2.70E-03,proportion 2nd instar,22
log(algae_conc2),-0.46163,0.27689,-1.67,1.00E-01,proportion 2nd instar,22
midgeNo Midges,1.57149,1.57529,1,3.20E-01,proportion 2nd instar,22
box2,-0.34755,0.58715,-0.59,5.60E-01,proportion 2nd instar,22
log(algae_conc2):midgeNo Midges,0.18195,0.34602,0.53,6.00E-01,proportion 2nd instar,22
