falc_id,light,nut,substrate,rack
1,L,P,Tubes,1
2,L,C,Crushed Tubes,1
3,L,N,Tubes,1
4,L,C,Tubes,1
5,L,N,Fresh Sediment,1
6,L,P,Crushed Tubes,1
7,L,C,Fresh Sediment,1
8,L,P,Fresh Sediment,1
9,L,N,Crushed Tubes,1
10,L,P,Crushed Tubes,2
11,L,C,Fresh Sediment,2
12,L,N,Tubes,2
13,L,N,Crushed Tubes,2
14,L,P,Tubes,2
15,L,C,Crushed Tubes,2
16,L,C,Tubes,2
17,L,P,Fresh Sediment,2
18,L,N,Fresh Sediment,2
19,L,N,Crushed Tubes,3
20,L,C,Fresh Sediment,3
21,L,P,Tubes,3
22,L,P,Fresh Sediment,3
23,L,N,Tubes,3
24,L,C,Tubes,3
25,L,P,Crushed Tubes,3
26,L,C,Crushed Tubes,3
27,L,N,Fresh Sediment,3
28,L,N,Crushed Tubes,4
29,L,C,Tubes,4
30,L,P,Fresh Sediment,4
31,L,C,Fresh Sediment,4
32,L,P,Crushed Tubes,4
33,L,N,Fresh Sediment,4
34,L,P,Tubes,4
35,L,N,Tubes,4
36,L,C,Crushed Tubes,4
37,D,P,Tubes,5
38,D,C,Crushed Tubes,5
39,D,N,Tubes,5
40,D,C,Tubes,5
41,D,N,Fresh Sediment,5
42,D,P,Crushed Tubes,5
43,D,C,Fresh Sediment,5
44,D,P,Fresh Sediment,5
45,D,N,Crushed Tubes,5
46,D,P,Crushed Tubes,6
47,D,C,Fresh Sediment,6
48,D,N,Tubes,6
49,D,N,Crushed Tubes,6
50,D,P,Tubes,6
51,D,C,Crushed Tubes,6
52,D,C,Tubes,6
53,D,P,Fresh Sediment,6
54,D,N,Fresh Sediment,6
55,D,N,Crushed Tubes,7
56,D,C,Fresh Sediment,7
57,D,P,Tubes,7
58,D,P,Fresh Sediment,7
59,D,N,Tubes,7
60,D,C,Tubes,7
61,D,P,Crushed Tubes,7
62,D,C,Crushed Tubes,7
63,D,N,Fresh Sediment,8
64,D,N,Crushed Tubes,8
65,D,C,Tubes,8
66,D,P,Fresh Sediment,8
67,D,C,Fresh Sediment,8
68,D,P,Crushed Tubes,8
69,D,N,Fresh Sediment,8
70,D,P,Tubes,8
71,D,N,Tubes,8
72,D,C,Crushed Tubes,8
101,NA,NA,Stock Sediment,NA
102,NA,NA,Stock Sediment,NA
103,NA,NA,Stock Sediment,NA
104,NA,NA,Stock Sediment,NA
105,NA,NA,Stock Sediment,NA
106,NA,NA,Stock Sediment,NA
107,NA,NA,Stock Sediment,NA
108,NA,NA,Stock Sediment,NA
109,NA,NA,Stock Sediment,NA
110,NA,NA,Stock Sediment,NA
111,NA,NA,Stock Sediment,NA
112,NA,NA,Stock Sediment,NA
113,NA,NA,Stock Sediment,NA
114,NA,NA,Stock Sediment,NA
115,NA,NA,Stock Sediment,NA
