sampledate,algae,trayweight,ww_tray,dw_tray,comb_tray,comments
2020-08-09,T1,1018.6,22199.6,1558,1456.6,NA
2020-08-09,T2,1012.5,19132.1,1702.1,1613.1,NA
2020-08-09,T3,1006.3,21168.7,1855.8,1753,NA
2020-08-09,T4,1009.3,19329,1848,1754.7,NA
2020-08-09,T5,990.3,16786.4,1676.9,1600.2,NA
2020-08-09,T6,986.5,18391.6,1622,1553.1,NA
2020-08-09,T7,1008.7,20907.4,1807.3,1722.5,NA
2020-08-09,T8,1012.5,16844.1,1555.1,1497.9,NA
2020-08-09,T9,1009.7,19276.4,1524.1,1465.3,NA
2020-08-09,T10,1019.5,19810.5,1672.2,1601.2,NA
