file,tube,NDVI_R,coreid
MG1.JPG,1,0.18606521194262862,1
MG100.JPG,1,0.3701328131155204,100
MG15.JPG,1,0.14321172549167907,15
MG23.JPG,1,0.10777357750279873,23
MG25.JPG,1,0.10612641835353744,25
MG27.JPG,1,0.1710276300359577,27
MG29.JPG,1,0.10972724585612345,29
MG3_a.JPG,1,0.1872355918671192,3
MG31.JPG,1,0.06479054434484982,31
MG32.JPG,1,0.23261304677596825,32
MG33.JPG,1,0.19313351258461836,33
MG34.JPG,1,0.17792959360126634,34
MG36.JPG,1,0.15333132208924777,36
MG38.JPG,1,0.23000326154278572,38
MG41.JPG,1,0.31067758177242083,41
MG48.JPG,1,0.2717172418425165,48
MG49.JPG,1,0.2646639753423107,49
MG51.JPG,1,0.29540182542024707,51
MG52.JPG,1,0.22671489954595267,52
MG54.JPG,1,0.2199793092958849,54
MG55.JPG,1,0.15135051302737493,55
MG58.JPG,1,0.1914237989525205,58
MG6_b.JPG,1,0.15725703659802345,6
MG61.JPG,1,0.04118942387016078,61
MG62.JPG,1,0.22316857587068548,62
MG7_b.JPG,1,0.14777667162437594,7
MG71.JPG,1,0.20939814145602828,71
MG78.JPG,1,0.09138842033798021,78
MG79.JPG,1,0.3576819468538801,79
MG82.JPG,1,0.2786263485335387,82
MG84.JPG,1,0.2611674532328937,84
MG85.JPG,1,0.2570584692358292,85
MG88.JPG,1,0.26431939321852516,88
MG91.JPG,1,0.30606653697694836,91
MG92.JPG,1,0.3054694690834406,92
MG93.JPG,1,0.29926715427958334,93
MG94.JPG,1,0.4147755632136945,94
MG95.JPG,1,0.3188184074446195,95
MG98.JPG,1,0.325659679714308,98
