sampleid,sta,core,depth_cm,layer,d13C,mass_c_ug,d15N,mass_n_ug,mass_tot_mg
E5-A-TOP,E5,A,0.75,top,-15.24,1615.08,-1.31,263.97,18.26
E5-A-MID,E5,A,5,mid,-15.64,1157.54,-1.86,191.43,15.32
E5-A-BOT,E5,A,10,bot,-15.83,569.95,-1.29,84.77,15.53
E5-B-TOP,E5,B,0.75,top,-15.21,1618.29,-1.39,275.23,18.19
E5-B-MID,E5,B,5,mid,-16.02,960.71,-1.85,157.65,15.73
E5-B-BOT,E5,B,10,bot,-15.8,566.32,-1.33,84.01,14.56
E5-C-TOP,E5,C,0.75,top,-14.19,1437.2,-1.4,228.02,14.36
E5-C-MID,E5,C,5,mid,-15.95,1092.33,-2.06,185.2,14.84
E5-C-BOT,E5,C,10,bot,-15.78,634.16,-1.21,95.48,14.09
NB-A-TOP,Reyk,D,0.75,top,-16.72,1388.49,-1.32,224.62,15.32
NB-A-MID,Reyk,D,5,mid,-18.02,1025.51,-0.53,173.46,14.75
NB-A-BOT,Reyk,D,10,bot,-18.37,901.37,-0.28,147.7,14.5
NB-B-TOP,Reyk,E,0.75,top,-16.29,1599.99,-1.51,260.13,15.52
NB-B-MID,Reyk,E,5,mid,-18.29,968.81,0.52,155,14.81
NB-B-BOT,Reyk,E,10,bot,-18.29,748.06,0.41,120.87,14.6
NB-C-TOP,Reyk,F,0.75,top,-17.96,1187.86,-0.85,192.98,16.21
NB-C-MID,Reyk,F,5,mid,-18.52,960.31,-0.54,161.21,14.49
NB-C-BOT,Reyk,F,10,bot,-18.02,1028.57,1.19,169.91,16.44
